Date,Total CLI - Daily,Total ED Visits - Daily,CLI Count - 7 day average,CLI Percent - Daily,CLI Percent - 7 day average,Total COVID - Daily,COVID Count - 7 day average,COVID Percent - Daily,COVID Percent - 7 day average
08/19/2020,68,2791,75,0.0,0.0,44,47,0.0,0.0
07/01/2020,55,2679,62,0.0,0.0,36,37,0.0,0.0
07/30/2021,,3103,,,,65,47,0.0,0.0
12/19/2021,,3103,,,,416,298,0.1,0.1
12/22/2020,161,2362,158,0.1,0.1,148,144,0.1,0.1
12/22/2021,,3387,,,,559,423,0.2,0.1
02/01/2021,73,2377,78,0.0,0.0,66,69,0.0,0.0
07/26/2020,67,2387,65,0.0,0.0,39,34,0.0,0.0
04/19/2020,227,1857,251,0.1,0.1,159,163,0.1,0.1
03/12/2020,160,4024,106,0.0,0.0,0,0,0.0,0.0
05/16/2021,92,2682,102,0.0,0.0,66,81,0.0,0.0
04/20/2021,133,2918,140,0.0,0.0,119,121,0.0,0.0
08/02/2021,,3408,,,,61,55,0.0,0.0
02/28/2022,,3152,,,,21,19,0.0,0.0
10/14/2020,65,2728,73,0.0,0.0,42,48,0.0,0.0
09/30/2020,51,2559,62,0.0,0.0,33,33,0.0,0.0
09/06/2020,37,2422,57,0.0,0.0,25,34,0.0,0.0
03/27/2020,278,2494,229,0.1,0.1,67,37,0.0,0.0
12/21/2020,167,2502,158,0.1,0.1,154,143,0.1,0.1
01/31/2022,,2758,,,,62,73,0.0,0.0
03/25/2020,258,2701,211,0.1,0.1,43,22,0.0,0.0
02/03/2022,,2276,,,,56,59,0.0,0.0
02/25/2022,,2673,,,,12,20,0.0,0.0
06/01/2020,114,2517,132,0.0,0.1,90,105,0.0,0.0
04/17/2020,252,1994,255,0.1,0.1,161,164,0.1,0.1
03/16/2020,213,3591,145,0.1,0.0,2,1,0.0,0.0
03/18/2022,,3083,,,,14,12,0.0,0.0
11/08/2020,216,2609,230,0.1,0.1,186,200,0.1,0.1
05/30/2020,101,2290,149,0.0,0.1,83,116,0.0,0.0
07/31/2021,,3001,,,,55,50,0.0,0.0
06/17/2020,88,2662,73,0.0,0.0,44,41,0.0,0.0
02/05/2021,67,2231,72,0.0,0.0,57,65,0.0,0.0
10/29/2021,,2873,,,,36,47,0.0,0.0
12/18/2020,172,2312,166,0.1,0.1,153,151,0.1,0.1
08/06/2020,72,2856,69,0.0,0.0,53,43,0.0,0.0
05/25/2020,168,2381,187,0.1,0.1,127,141,0.1,0.1
12/05/2020,152,2229,196,0.1,0.1,141,173,0.1,0.1
12/21/2021,,3523,,,,607,385,0.2,0.1
08/05/2020,72,2712,71,0.0,0.0,39,43,0.0,0.0
10/05/2021,,3255,,,,66,60,0.0,0.0
11/28/2020,209,2353,217,0.1,0.1,187,196,0.1,0.1
09/28/2020,69,2846,63,0.0,0.0,34,33,0.0,0.0
06/06/2020,80,2262,100,0.0,0.0,58,76,0.0,0.0
08/08/2020,43,2523,67,0.0,0.0,20,40,0.0,0.0
02/12/2022,,2359,,,,34,40,0.0,0.0
09/08/2020,55,2816,55,0.0,0.0,25,33,0.0,0.0
03/22/2020,169,2153,192,0.1,0.1,14,8,0.0,0.0
07/04/2020,54,2211,66,0.0,0.0,28,39,0.0,0.0
11/17/2020,235,2591,249,0.1,0.1,219,222,0.1,0.1
01/28/2022,,2251,,,,74,98,0.0,0.0
11/02/2020,208,2756,158,0.1,0.1,187,135,0.1,0.1
07/16/2021,,3173,,,,19,19,0.0,0.0
02/08/2022,,2699,,,,50,45,0.0,0.0
08/20/2020,61,2771,72,0.0,0.0,41,45,0.0,0.0
10/28/2021,,3030,,,,51,49,0.0,0.0
02/17/2022,,2609,,,,23,31,0.0,0.0
09/11/2020,51,2573,53,0.0,0.0,31,33,0.0,0.0
03/14/2020,131,3202,123,0.0,0.0,3,1,0.0,0.0
07/12/2021,,3541,,,,17,12,0.0,0.0
12/29/2020,144,2286,139,0.1,0.1,126,124,0.1,0.1
04/07/2020,282,2284,272,0.1,0.1,168,144,0.1,0.1
01/20/2022,,2484,,,,163,194,0.1,0.1
04/11/2021,127,2716,140,0.0,0.0,112,120,0.0,0.0
10/30/2020,161,2451,136,0.1,0.1,136,113,0.1,0.0
05/15/2020,232,2309,231,0.1,0.1,178,182,0.1,0.1
07/21/2020,78,2829,67,0.0,0.0,38,40,0.0,0.0
07/23/2020,51,2669,65,0.0,0.0,29,36,0.0,0.0
09/02/2021,,3212,,,,99,94,0.0,0.0
06/29/2020,74,2770,62,0.0,0.0,35,33,0.0,0.0
08/24/2020,87,3104,67,0.0,0.0,45,41,0.0,0.0
10/13/2021,,3232,,,,63,51,0.0,0.0
08/28/2020,80,2833,72,0.0,0.0,44,45,0.0,0.0
12/01/2020,209,2587,209,0.1,0.1,192,187,0.1,0.1
12/26/2021,,3323,,,,623,574,0.2,0.2
06/26/2020,48,2498,60,0.0,0.0,32,33,0.0,0.0
06/22/2021,30,3240,37,0.0,0.0,5,10,0.0,0.0
02/21/2021,42,2233,47,0.0,0.0,33,40,0.0,0.0
11/23/2020,263,2667,225,0.1,0.1,231,201,0.1,0.1
09/20/2020,54,2343,53,0.0,0.0,31,30,0.0,0.0
10/30/2021,,2764,,,,41,47,0.0,0.0
08/24/2021,,3267,,,,94,92,0.0,0.0
08/09/2021,,3482,,,,89,72,0.0,0.0
02/18/2021,43,2307,51,0.0,0.0,40,45,0.0,0.0
04/27/2021,143,3151,136,0.0,0.0,122,114,0.0,0.0
11/07/2021,,2720,,,,49,53,0.0,0.0
09/04/2021,,3037,,,,92,92,0.0,0.0
11/19/2020,215,2514,237,0.1,0.1,196,214,0.1,0.1
01/24/2021,86,2107,109,0.0,0.0,77,97,0.0,0.0
09/04/2020,69,2795,65,0.0,0.0,34,38,0.0,0.0
01/05/2021,153,2508,137,0.1,0.1,137,122,0.1,0.1
01/08/2021,125,2345,138,0.1,0.1,119,125,0.1,0.1
02/26/2022,,2426,,,,15,20,0.0,0.0
02/02/2022,,1956,,,,42,63,0.0,0.0
12/16/2020,164,2363,177,0.1,0.1,154,160,0.1,0.1
04/06/2020,311,2360,272,0.1,0.1,175,135,0.1,0.1
03/23/2021,75,2762,76,0.0,0.0,66,60,0.0,0.0
10/25/2020,127,2251,113,0.1,0.0,106,90,0.0,0.0
12/06/2020,167,2182,194,0.1,0.1,158,174,0.1,0.1
11/24/2020,215,2426,222,0.1,0.1,198,198,0.1,0.1
08/31/2021,,3285,,,,101,96,0.0,0.0
02/13/2021,43,1927,65,0.0,0.0,39,57,0.0,0.0
12/09/2021,,3075,,,,167,152,0.1,0.0
05/26/2020,178,2837,182,0.1,0.1,140,139,0.0,0.1
08/11/2021,,3276,,,,73,77,0.0,0.0
02/27/2021,46,2196,46,0.0,0.0,33,37,0.0,0.0
06/03/2020,121,2583,117,0.0,0.0,89,92,0.0,0.0
04/10/2021,133,2645,139,0.1,0.0,120,118,0.0,0.0
03/01/2020,68,3253,,0.0,,0,,0.0,
03/21/2021,77,2332,73,0.0,0.0,67,57,0.0,0.0
05/03/2020,231,2127,283,0.1,0.1,180,219,0.1,0.1
12/12/2020,167,2174,191,0.1,0.1,153,173,0.1,0.1
07/25/2021,,2949,,,,40,34,0.0,0.0
08/23/2021,,3500,,,,112,90,0.0,0.0
12/10/2021,,3111,,,,167,156,0.1,0.1
12/23/2020,147,2299,155,0.1,0.1,126,140,0.1,0.1
09/11/2021,,2990,,,,65,89,0.0,0.0
12/13/2021,,3517,,,,221,172,0.1,0.1
01/03/2021,147,2206,135,0.1,0.1,126,120,0.1,0.1
03/18/2021,87,2542,60,0.0,0.0,66,45,0.0,0.0
02/11/2021,65,2236,66,0.0,0.0,53,56,0.0,0.0
06/24/2021,,3091,34,,0.0,9,9,0.0,0.0
11/06/2020,257,2816,211,0.1,0.1,221,182,0.1,0.1
11/03/2021,,3171,,,,48,48,0.0,0.0
05/18/2021,88,3143,100,0.0,0.0,60,78,0.0,0.0
09/18/2021,,2807,,,,50,73,0.0,0.0
