CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE324350,08/02/2021 09:00:00 PM,029XX W FLOURNOY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,N,1135,28,07,1156913,1896892,41.872844064,-87.699367575,"(41.872844064, -87.699367575)"
JE323973,08/02/2021 09:30:00 PM,057XX S INDIANA AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,232,20,07,1178576,1867090,41.790598514,-87.620740903,"(41.790598514, -87.620740903)"
JE322886,08/02/2021 03:45:00 AM,0000X E 66TH ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,322,20,26,1177855,1861265,41.774630491,-87.623560916,"(41.774630491, -87.623560916)"
JE323040,08/02/2021 08:45:00 AM,033XX W DICKENS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1413,26,08B,1153624,1913754,41.919181037,-87.710994021,"(41.919181037, -87.710994021)"
JE341621,08/13/2021 01:20:00 PM,049XX W FERDINAND ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,1532,37,11,1143313,1902878,41.889535164,-87.749150406,"(41.889535164, -87.749150406)"
JE299916,07/08/2021 04:50:00 PM,054XX N CLARK ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,2012,40,06,1165048,1936387,41.981051896,-87.668375719,"(41.981051896, -87.668375719)"
JE322797,08/02/2021 12:32:00 AM,021XX E 71ST ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,331,5,03,1192025,1858344,41.766282386,-87.571711585,"(41.766282386, -87.571711585)"
JE323677,08/02/2021 05:20:00 PM,016XX W 81ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,614,21,14,1166634,1850994,41.746692239,-87.664987808,"(41.746692239, -87.664987808)"
JE323922,08/02/2021 08:49:00 PM,014XX N CENTRAL PARK AVE,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,Y,N,2535,26,18,1152103,1909275,41.906920407,-87.716700707,"(41.906920407, -87.716700707)"
JE323722,08/02/2021 05:45:00 PM,030XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1222,27,08B,1156332,1899869,41.881025006,-87.701420232,"(41.881025006, -87.701420232)"
JE326072,08/02/2021 07:30:00 PM,078XX S MAY ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,612,17,26,1170014,1852769,41.751490368,-87.652551183,"(41.751490368, -87.652551183)"
JE323295,08/02/2021 12:40:00 PM,078XX S DREXEL AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,N,N,624,8,04A,1183592,1853199,41.75236474,-87.602781335,"(41.75236474, -87.602781335)"
JE323474,08/02/2021 02:30:00 PM,050XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,N,Y,224,3,08B,1178895,1871636,41.803065896,-87.619432786,"(41.803065896, -87.619432786)"
JE323059,08/02/2021 09:30:00 AM,001XX S HALSTED ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1232,27,06,1171070,1899648,41.880108035,-87.647309981,"(41.880108035, -87.647309981)"
JE294763,07/08/2021 03:20:00 PM,060XX N ELSTON AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,1611,39,04B,1134801,1939728,41.990810338,-87.779536294,"(41.990810338, -87.779536294)"
JE322881,08/02/2021 03:10:00 AM,058XX S NOTTINGHAM AVE,0810,THEFT,OVER $500,STREET,N,N,811,23,06,1130047,1864924,41.785620579,-87.798737166,"(41.785620579, -87.798737166)"
JE324042,08/02/2021 11:11:00 PM,026XX N MULLIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,2512,30,26,1133630,1916913,41.928224363,-87.784381193,"(41.928224363, -87.784381193)"
JE336509,08/13/2021 07:30:00 PM,052XX N KENMORE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2023,48,08B,1168307,1934956,41.977055144,-87.656431821,"(41.977055144, -87.656431821)"
JE336058,08/13/2021 01:00:00 PM,047XX N RACINE AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,1913,46,06,1167458,1931452,41.967458424,-87.659655286,"(41.967458424, -87.659655286)"
JE300339,06/20/2021 06:00:00 AM,010XX W 104TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2232,34,11,1171235,1835854,41.705046606,-87.648569913,"(41.705046606, -87.648569913)"
JE323989,08/02/2021 11:08:00 PM,073XX N WINCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER (SPECIFY),N,N,2424,49,14,1162043,1948924,42.015517282,-87.679074821,"(42.015517282, -87.679074821)"
JE323551,08/02/2021 02:49:00 PM,031XX N SHERIDAN RD,0810,THEFT,OVER $500,APARTMENT,N,N,1934,44,06,1173013,1921305,41.939493089,-87.639532345,"(41.939493089, -87.639532345)"
JE323858,08/02/2021 07:38:00 PM,055XX S ABERDEEN ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,712,16,04B,1169930,1867969,41.793202868,-87.652418003,"(41.793202868, -87.652418003)"
JE322804,08/02/2021 12:51:00 AM,034XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,211,4,08B,1180461,1882209,41.832043206,-87.613364699,"(41.832043206, -87.613364699)"
JE324046,08/02/2021 05:30:00 AM,053XX W CRYSTAL ST,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,N,Y,2532,37,17,1140452,1907807,41.903113901,-87.759536287,"(41.903113901, -87.759536287)"
JE323520,08/02/2021 08:00:00 AM,029XX N LAKE SHORE DR,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,HOSPITAL BUILDING / GROUNDS,N,N,1934,44,17,1173796,1919557,41.93467909,-87.636706827,"(41.93467909, -87.636706827)"
JE324034,08/02/2021 11:30:00 PM,068XX N WESTERN AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,2411,50,06,1159082,1945162,42.005255827,-87.69007432,"(42.005255827, -87.69007432)"
JE322858,08/02/2021 01:00:00 AM,008XX N RACINE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1213,27,03,1168245,1905539,41.896334853,-87.657512624,"(41.896334853, -87.657512624)"
JE323131,08/02/2021 10:30:00 AM,026XX N MILWAUKEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1412,35,08B,1154424,1917493,41.929425187,-87.707954521,"(41.929425187, -87.707954521)"
JE323450,08/02/2021 08:00:00 AM,042XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,921,15,06,1156618,1876203,41.816077036,-87.701009919,"(41.816077036, -87.701009919)"
JE323200,08/02/2021 11:15:00 AM,016XX E 75TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,411,8,14,1188361,1855575,41.758772251,-87.585229528,"(41.758772251, -87.585229528)"
JE322877,08/02/2021 03:30:00 AM,015XX E 79TH ST,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,411,5,15,1188011,1852919,41.751492287,-87.586596725,"(41.751492287, -87.586596725)"
JE323936,08/02/2021 08:59:00 PM,039XX W ARTHINGTON ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1132,24,04B,1150290,1895745,41.869828222,-87.723713759,"(41.869828222, -87.723713759)"
JE294460,07/08/2021 11:30:00 AM,004XX N STATE ST,0460,BATTERY,SIMPLE,CONVENIENCE STORE,N,N,1831,42,08B,1176300,1903208,41.889760548,-87.627998797,"(41.889760548, -87.627998797)"
JE294077,07/08/2021 12:01:00 AM,036XX W DOUGLAS BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1011,24,06,1152500,1893219,41.862853238,-87.715666871,"(41.862853238, -87.715666871)"
JE300126,07/06/2021 07:15:00 PM,015XX E 53RD ST,0460,BATTERY,SIMPLE,CTA BUS,N,N,234,4,08B,1187505,1870429,41.799553224,-87.587894753,"(41.799553224, -87.587894753)"
JE294834,07/08/2021 04:20:00 PM,003XX N PINE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1523,37,06,1139442,1901679,41.886316395,-87.763395797,"(41.886316395, -87.763395797)"
JE322926,08/02/2021 03:00:00 AM,001XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,N,N,111,42,03,1176330,1901649,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
JE326908,08/02/2021 09:15:00 PM,047XX S LAKE PARK AVE,0810,THEFT,OVER $500,APARTMENT,N,N,222,4,06,1186364,1873970,41.809297059,-87.591967028,"(41.809297059, -87.591967028)"
JE323731,08/02/2021 04:30:00 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1833,2,06,1177338,1906181,41.897895128,-87.624096605,"(41.897895128, -87.624096605)"
JE416727,10/20/2021 02:45:00 PM,074XX N HARLEM AVE,0918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",RESIDENCE - YARD (FRONT / BACK),N,N,1611,41,07,1127391,1948784,42.015789076,-87.806587666,"(42.015789076, -87.806587666)"
JE296765,07/08/2021 02:46:00 PM,065XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,321,20,06,1183682,1861851,41.776104575,-87.602182026,"(41.776104575, -87.602182026)"
JE336231,08/13/2021 03:45:00 PM,065XX W IRVING PARK RD,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,1632,38,06,1132190,1925884,41.952866977,-87.789463625,"(41.952866977, -87.789463625)"
JE336288,08/13/2021 03:30:00 PM,033XX W BEACH AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1422,26,08A,1153813,1909439,41.907336534,-87.710414753,"(41.907336534, -87.710414753)"
JE351377,08/27/2021 01:45:00 AM,062XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,N,Y,311,20,06,1178206,1863406,41.78049766,-87.622209313,"(41.78049766, -87.622209313)"
JE323901,08/02/2021 07:00:00 PM,086XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,632,8,08B,1183405,1847830,41.737635982,-87.603633447,"(41.737635982, -87.603633447)"
JE323407,08/02/2021 01:30:00 PM,042XX S RICHMOND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,921,15,14,1157397,1876487,41.816840602,-87.698144665,"(41.816840602, -87.698144665)"
JE324520,08/02/2021 11:00:00 PM,090XX S JUSTINE ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,2221,21,07,1167586,1844881,41.729896938,-87.661674255,"(41.729896938, -87.661674255)"
JE323776,08/02/2021 06:00:00 PM,058XX S SPRINGFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,822,13,06,1151365,1865776,41.787568282,-87.720551889,"(41.787568282, -87.720551889)"
JE322814,08/02/2021 12:55:00 AM,133XX S CORLISS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,CHA APARTMENT,N,Y,533,9,04A,1184081,1817265,41.653745894,-87.602107464,"(41.653745894, -87.602107464)"
JE323959,08/02/2021 06:21:00 PM,051XX S WENTWORTH AVE,0263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,N,225,3,02,1175841,1870719,41.80061862,-87.630660633,"(41.80061862, -87.630660633)"
JE323472,08/02/2021 02:51:00 PM,034XX W 23RD ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,1024,22,04B,1153573,1888494,41.849866042,-87.711853523,"(41.849866042, -87.711853523)"
JE323516,08/02/2021 02:30:00 PM,020XX N ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,N,1432,32,07,1165276,1913730,41.918875167,-87.668183878,"(41.918875167, -87.668183878)"
JE323931,08/02/2021 09:00:00 PM,085XX S PARNELL AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,STREET,N,N,622,21,15,1174118,1848318,41.739186161,-87.637643898,"(41.739186161, -87.637643898)"
JE322837,08/02/2021 01:00:00 AM,010XX N RUSH ST,0880,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,1824,42,06,1176264,1907593,41.901794019,-87.627998616,"(41.901794019, -87.627998616)"
JE295488,07/08/2021 11:20:00 AM,009XX W 70TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,733,6,14,1171091,1858416,41.766963003,-87.648439746,"(41.766963003, -87.648439746)"
JE294663,07/08/2021 11:00:00 AM,058XX S JUSTINE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,713,16,14,1167005,1866074,41.788065833,-87.663197851,"(41.788065833, -87.663197851)"
JE294387,07/08/2021 06:46:00 AM,049XX W QUINCY ST,0560,ASSAULT,SIMPLE,ALLEY,N,N,1533,28,08A,1143587,1898550,41.877653486,-87.748252513,"(41.877653486, -87.748252513)"
JE296134,07/08/2021 08:21:00 AM,045XX S SAWYER AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,821,14,07,1155458,1874434,41.811246011,-87.705312497,"(41.811246011, -87.705312497)"
JE296602,07/08/2021 03:30:00 PM,018XX N MARSHFIELD AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1433,32,06,1165057,1912294,41.91493935,-87.669029372,"(41.91493935, -87.669029372)"
JE299987,06/03/2021 12:00:00 AM,085XX S WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,632,6,11,1178200,1848432,41.739407466,-87.622684817,"(41.739407466, -87.622684817)"
JE294484,07/08/2021 09:00:00 AM,005XX E 46TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,221,3,14,1180613,1874303,41.810345038,-87.613050174,"(41.810345038, -87.613050174)"
JE295034,07/08/2021 07:21:00 PM,061XX N WASHTENAW AVE,0620,BURGLARY,UNLAWFUL ENTRY,STREET,Y,N,2413,40,05,1157219,1940704,41.993061106,-87.697050321,"(41.993061106, -87.697050321)"
JE295153,07/08/2021 09:21:00 PM,013XX N PAULINA ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,GROCERY FOOD STORE,N,N,1433,1,04B,1164814,1909135,41.906276004,-87.670011875,"(41.906276004, -87.670011875)"
JE296723,07/08/2021 11:00:00 AM,028XX N NATOMA AVE,0560,ASSAULT,SIMPLE,STREET,N,N,2511,36,08A,1131597,1918146,41.931643335,-87.791823265,"(41.931643335, -87.791823265)"
JE299539,07/05/2021 02:00:00 PM,050XX S LOOMIS BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,933,20,06,1167850,1871357,41.802544886,-87.659947831,"(41.802544886, -87.659947831)"
JE322907,08/02/2021 05:15:00 AM,002XX W ADAMS ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,122,42,06,1174642,1899412,41.879381337,-87.634201201,"(41.879381337, -87.634201201)"
JE336155,08/13/2021 02:15:00 PM,061XX S ARCHER AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,811,23,06,1137711,1868195,41.794462581,-87.770558224,"(41.794462581, -87.770558224)"
JE340433,08/13/2021 08:00:00 PM,005XX N COLUMBUS DR,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,06,1178412,1903766,41.891243826,-87.620225683,"(41.891243826, -87.620225683)"
JE323831,08/02/2021 08:07:00 AM,067XX N SHERIDAN RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,2432,49,26,1167034,1944763,42.00399329,-87.66082998,"(42.00399329, -87.66082998)"
JE323154,08/02/2021 10:45:00 AM,063XX S EBERHART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,312,20,14,1180671,1862993,41.779308053,-87.613184954,"(41.779308053, -87.613184954)"
JE352501,08/27/2021 10:12:00 PM,037XX W 30TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1031,22,04A,1151762,1884456,41.83882104,-87.718606289,"(41.83882104, -87.718606289)"
JE323998,08/02/2021 11:25:00 PM,048XX S SHIELDS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,Y,935,3,14,1174771,1872976,41.806835985,-87.63451735,"(41.806835985, -87.63451735)"
JE323737,08/02/2021 06:10:00 PM,108XX S EGGLESTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2233,34,14,1175211,1833069,41.697316477,-87.634093118,"(41.697316477, -87.634093118)"
JE355355,08/27/2021 05:42:00 PM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1834,42,06,1177327,1904307,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
JE336644,08/13/2021 09:50:00 PM,002XX E 35TH ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,211,3,08B,1178293,1881834,41.831063762,-87.621330678,"(41.831063762, -87.621330678)"
JE351965,08/27/2021 11:58:00 AM,017XX N LINDER AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2532,37,06,1139461,1911083,41.912121758,-87.763096484,"(41.912121758, -87.763096484)"
JE323579,08/02/2021 03:55:00 PM,003XX N DEARBORN ST,0460,BATTERY,SIMPLE,CTA BUS STOP,N,N,1831,42,08B,1175885,1902564,41.888002728,-87.629542238,"(41.888002728, -87.629542238)"
JE294813,07/08/2021 03:35:00 PM,009XX W FULLERTON AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1932,43,08A,1169719,1916145,41.925406329,-87.651789407,"(41.925406329, -87.651789407)"
JE336512,08/13/2021 08:10:00 PM,007XX W 111TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2233,34,15,1173211,1831248,41.692363696,-87.641469539,"(41.692363696, -87.641469539)"
JE326177,08/02/2021 01:00:00 PM,101XX S EWING AVE,4230,KIDNAPPING,UNLAWFUL RESTRAINT,SIDEWALK,N,Y,432,10,26,1202149,1838469,41.711492076,-87.5352799,"(41.711492076, -87.5352799)"
JE323423,08/02/2021 10:30:00 AM,008XX N CENTRAL PARK AVE,0325,ROBBERY,VEHICULAR HIJACKING,VEHICLE NON-COMMERCIAL,N,N,1112,27,03,1152233,1905266,41.89591676,-87.716329078,"(41.89591676, -87.716329078)"
JE335957,08/13/2021 11:45:00 AM,032XX N CICERO AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1634,31,06,1143809,1920939,41.939087172,-87.746875321,"(41.939087172, -87.746875321)"
JE322895,08/02/2021 04:18:00 AM,131XX S EBERHART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,533,9,01A,1181748,1818321,41.656697711,-87.610611375,"(41.656697711, -87.610611375)"
JE416483,10/20/2021 02:45:00 PM,040XX W SCHOOL ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,Y,1731,30,05,1148944,1921625,41.940871665,-87.727984861,"(41.940871665, -87.727984861)"
JE323785,08/02/2021 02:00:00 PM,028XX W JACKSON BLVD,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),N,N,1124,27,06,1157560,1898567,41.877427291,-87.696946533,"(41.877427291, -87.696946533)"
JE323481,08/02/2021 02:00:00 AM,041XX W ARTHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1132,24,08B,1148733,1895788,41.86997642,-87.729428901,"(41.86997642, -87.729428901)"
JE323107,08/02/2021 08:00:00 AM,008XX W 103RD ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,2232,34,04A,1172713,1836546,41.70691318,-87.643137352,"(41.70691318, -87.643137352)"
JE322897,08/02/2021 04:15:00 AM,002XX W 63RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,722,20,07,1175510,1863188,41.779960201,-87.632099778,"(41.779960201, -87.632099778)"
JE323216,08/02/2021 11:30:00 AM,028XX W 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,823,17,08B,1158357,1862073,41.777267115,-87.695015744,"(41.777267115, -87.695015744)"
JE351636,08/27/2021 10:11:00 AM,065XX S HONORE ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,Y,726,15,26,1165141,1861232,41.774818426,-87.67016934,"(41.774818426, -87.67016934)"
JE364262,09/07/2021 05:30:00 AM,003XX N AUSTIN BLVD,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA STATION,N,N,1512,29,14,1136321,1901669,41.886345263,-87.774857276,"(41.886345263, -87.774857276)"
JE323855,08/02/2021 07:18:00 PM,046XX W DIVERSEY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,N,2521,31,15,1144951,1918212,41.931582515,-87.742747165,"(41.931582515, -87.742747165)"
JE331530,08/09/2021 12:06:00 PM,039XX W IRVING PARK RD,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,GAS STATION,N,N,1723,45,15,1149187,1926286,41.953657108,-87.726970547,"(41.953657108, -87.726970547)"
JE322894,08/02/2021 04:15:00 AM,0000X W TERMINAL ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Y,N,1655,41,15,1104700,1933741,41.974861952,-87.890372151,"(41.974861952, -87.890372151)"
JE417601,10/20/2021 02:00:00 PM,098XX S LONGWOOD DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2213,19,11,1165641,1839336,41.714722018,-87.668956144,"(41.714722018, -87.668956144)"
JE323452,08/02/2021 02:20:00 PM,043XX W ADAMS ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,N,1115,28,04A,1147592,1898661,41.877882222,-87.73354419,"(41.877882222, -87.73354419)"
JE295190,07/08/2021 10:44:00 PM,022XX W 21ST ST,0560,ASSAULT,SIMPLE,STREET,N,Y,1234,25,08A,1161823,1890029,41.853910406,-87.681531969,"(41.853910406, -87.681531969)"
JE351313,08/27/2021 12:25:00 AM,092XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,634,21,08B,1176290,1843689,41.72643513,-87.629824739,"(41.72643513, -87.629824739)"
JE323999,08/02/2021 11:46:00 PM,008XX W 116TH ST,0820,THEFT,$500 AND UNDER,STREET,N,Y,524,34,06,1173013,1827939,41.683287639,-87.64229163,"(41.683287639, -87.64229163)"
JE323649,08/02/2021 05:00:00 PM,064XX S TALMAN AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,825,17,08B,1159819,1861750,41.776350853,-87.689664892,"(41.776350853, -87.689664892)"
JE323746,08/02/2021 06:05:00 PM,053XX W BARRY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2514,30,08B,1140249,1920093,41.936831749,-87.759980232,"(41.936831749, -87.759980232)"
JE323866,08/02/2021 08:09:00 PM,021XX W 68TH PL,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,726,16,04B,1163469,1859216,41.769321463,-87.676355119,"(41.769321463, -87.676355119)"
JE323960,08/02/2021 08:24:00 PM,071XX S JEFFERY BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,333,5,14,1190777,1858173,41.765843381,-87.576291395,"(41.765843381, -87.576291395)"
JE323846,08/02/2021 05:00:00 PM,018XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1023,24,06,1157986,1890861,41.856272565,-87.695592571,"(41.856272565, -87.695592571)"
JE323306,08/02/2021 12:30:00 PM,082XX S PULASKI RD,0460,BATTERY,SIMPLE,OTHER (SPECIFY),N,N,834,18,08B,1151169,1849436,41.742732471,-87.721696569,"(41.742732471, -87.721696569)"
JE323504,08/02/2021 07:30:00 AM,090XX S LOWE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2223,21,11,1173561,1844802,41.729550123,-87.639788445,"(41.729550123, -87.639788445)"
JE324802,08/02/2021 09:00:00 PM,041XX N KEELER AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1722,39,06,1147663,1927206,41.956211113,-87.732549265,"(41.956211113, -87.732549265)"
JE322866,08/02/2021 02:00:00 AM,031XX W CHICAGO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1211,27,07,1155082,1905157,41.895560955,-87.705868184,"(41.895560955, -87.705868184)"
JE323420,08/02/2021 03:40:00 AM,055XX S PRAIRIE AVE,0810,THEFT,OVER $500,STREET,N,N,231,20,06,1178989,1868154,41.793508827,-87.619194139,"(41.793508827, -87.619194139)"
JE323744,08/02/2021 06:18:00 PM,044XX W CONGRESS PKWY,041A,BATTERY,AGGRAVATED - HANDGUN,ALLEY,N,N,1131,28,04B,1146808,1897320,41.874217358,-87.736457115,"(41.874217358, -87.736457115)"
JE323694,08/02/2021 05:08:00 PM,080XX S MANISTEE AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,STREET,N,N,422,7,15,1195903,1852188,41.749294768,-87.557701037,"(41.749294768, -87.557701037)"
JE323783,08/02/2021 06:45:00 PM,004XX N ST LOUIS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,1123,27,11,1152975,1902645,41.888709801,-87.713673374,"(41.888709801, -87.713673374)"
JE323280,08/02/2021 11:30:00 AM,037XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,TAVERN / LIQUOR STORE,Y,N,1732,35,06,1152930,1924851,41.949645871,-87.713248982,"(41.949645871, -87.713248982)"
JE351372,08/27/2021 01:00:00 AM,018XX N WINCHESTER AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,1434,32,03,1163062,1912469,41.915461731,-87.676353819,"(41.915461731, -87.676353819)"
JE323493,08/02/2021 11:30:00 AM,074XX W SEMINOLE ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,1612,41,11,1125478,1937240,41.984143327,-87.81388475,"(41.984143327, -87.81388475)"
