public	budget__2021_budget_ordinance__appropriations	456 kB	466944
public	chicago_public_schools__school_admissions_information_sy2122	440 kB	450560
public	chicago_public_schools__school_admissions_information_sy2021	440 kB	450560
public	foia_request_log__health	416 kB	425984
public	foia_request_log__aviation	416 kB	425984
public	lobbyist_data__expenditures__large	416 kB	425984
public	alternative_fuel_locations	408 kB	417792
public	family_and_support_services_delegate_agencies	408 kB	417792
public	cta__list_of_fare_media_sales_outlets_deprecated_august_2014	392 kB	401408
public	chicago_public_schools__progress_report_cards_20112012	384 kB	393216
public	tax_increment_financing_tif_investment_committee_decisions	376 kB	385024
public	tif_balances_by_fiscal_year__20012014	352 kB	360448
public	tax_increment_financing_tif_funded_rda_and_iga_projects	352 kB	360448
public	connect_chicago_locations__historical	352 kB	360448
public	foia_request_log__human_resources	328 kB	335872
public	covid19_daily_rolling_average_case_death_and_hospitalization_ra	320 kB	327680
public	foia_request_log__office_of_the_mayor	312 kB	319488
public	chicago_public_schools__elementary_school_progress_report_card_	312 kB	319488
public	towed_vehicles	304 kB	311296
public	lobbyist_data__lobbyist_agency_report_deprecated_october_2015	304 kB	311296
public	lobbyist_data__historical__lobbyist_registry__2011	296 kB	303104
public	lobbyist_data__expenditures__small	288 kB	294912
public	sex_offenders	288 kB	294912
public	foia_request_log__innovation_and_technology	288 kB	294912
public	cps_schools_20132014_academic_year	280 kB	286720
public	chicago_public_schools__elementary_school_progress_report_20132	264 kB	270336
public	foia_request_log__environment__historical	256 kB	262144
public	public_health_department_events	256 kB	262144
public	public_health_statistics__selected_underlying_causes_of_death_i	240 kB	245760
public	flu_shot_clinic_locations__2012	232 kB	237568
public	street_sweeping_schedule__2021	232 kB	237568
public	street_sweeping_schedule__2020	232 kB	237568
public	street_sweeping_schedule__2014	232 kB	237568
public	street_sweeping_schedule__2017	232 kB	237568
public	street_sweeping_schedule__2018	232 kB	237568
public	street_sweeping_schedule__2019	232 kB	237568
public	street_sweeping_schedule__2016	232 kB	237568
public	street_sweeping_schedule__2012	224 kB	229376
public	street_sweeping_schedule__2013	224 kB	229376
public	covid19_daily_testing__by_test	216 kB	221184
public	foia_request_log__fleet__facility_management	208 kB	212992
public	chicago_traffic_tracker__congestion_estimates_by_segments	208 kB	212992
public	lobbyist_data__historical__lobbyist_registry__2010	200 kB	204800
public	average_daily_traffic_counts	200 kB	204800
public	performance_metrics__business_affairs__consumer_protection__bus	200 kB	204800
public	covid19_hospital_capacity_metrics	200 kB	204800
public	lobbyist_data__lobbyist_categorized_expenditures_report_depreca	200 kB	204800
public	street_sweeping_schedule__2015__maynovember	192 kB	196608
public	covid19_daily_vaccinations__chicago_residents	192 kB	196608
public	lobbyist_data__lobbyist_compensation_report_deprecated_october_	184 kB	188416
public	foia_request_log__public_building_commission	184 kB	188416
public	chicago_street_names	184 kB	188416
public	foia_request_log__cultural_affairs__special_events	176 kB	180224
public	parks__locations_deprecated_november_2016	176 kB	180224
public	lobbyist_data__historical__lobbyist_categorized_expenditures_re	168 kB	172032
public	foia_request_log__family_and_support_services	168 kB	172032
public	foia_request_log__independent_police_review_authority	168 kB	172032
public	mural_registry	160 kB	163840
public	additional_dwelling_unit_preapproval_applications	152 kB	155648
public	lobbyist_data__historical__lobbyist_compensation_report__2010	152 kB	155648
public	restricted_flavored_tobacco_products	152 kB	155648
public	covid19_outcomes_by_vaccination_status	152 kB	155648
public	covid19_daily_cases_deaths_and_hospitalizations	144 kB	147456
public	tax_increment_financing_tif_annual_report__analysis_of_special_	136 kB	139264
public	ethics_pledge	128 kB	131072
public	grocery_stores__2013	128 kB	131072
public	foia_request_log__chicago_treasurers_office	128 kB	131072
public	public_health_statistics__prenatal_care_in_chicago_by_year_1999	120 kB	122880
public	grocery_stores__2011	120 kB	122880
public	chicago_public_schools__school_locations_sy1920	120 kB	122880
public	parks__buildings_deprecated_november_2016	120 kB	122880
public	affordable_rental_housing_developments	112 kB	114688
public	financial_incentive_projects__tif_works	112 kB	114688
public	chicago_park_district_movies_in_the_parks_2015	112 kB	114688
public	chicago_park_district_movies_in_the_parks_2014	112 kB	114688
public	covid19_daily_testing__by_person__historical	112 kB	114688
public	divvy_bicycle_stations	112 kB	114688
public	chicago_public_schools__high_school_progress_report_20132014	104 kB	106496
public	foia_request_log__ethics	104 kB	106496
public	chicago_public_schools__school_locations_sy2021	96 kB	98304
public	elevation_benchmarks	96 kB	98304
public	schools_deprecated_2012	96 kB	98304
public	covid19_daily_vaccinations__administered_in_chicago	88 kB	90112
public	green_roofs	88 kB	90112
public	lobbyist_data__gifts	88 kB	90112
public	foia_request_log__chicago_public_library	80 kB	81920
public	life_safety_evaluations_deprecated_2015	80 kB	81920
public	beach_swim_advisories	80 kB	81920
public	public_technology_resources	80 kB	81920
public	foia_request_log__chicago_police_board	72 kB	73728
public	traffic_crashes__vision_zero_chicago_traffic_fatalities	72 kB	73728
public	foia_request_log__assets_information__services	72 kB	73728
public	pharmacy_status	72 kB	73728
public	tax_increment_financing_tif_annual_report__itemized_list_of_exp	64 kB	65536
public	chicago_park_district_movies_in_the_parks_2016	64 kB	65536
public	public_building_commission__event_permits	64 kB	65536
information_schema	sql_features	64 kB	65536
public	snow_route_parking_restrictions	64 kB	65536
public	performance_metrics__innovation__technology__site_availability	64 kB	65536
public	individual_landmarks	64 kB	65536
public	chicago_public_schools__elementary_school_attendance_boundaries	64 kB	65536
public	foia_request_log__zoning_and_land_use_planning__historical	64 kB	65536
public	covidlike_illness_cli_and_covid19_diagnosis_emergency_departmen	56 kB	57344
public	performance_metrics__procurement_services__task_order_request_t	56 kB	57344
public	lobbyist_data__lobbyist_major_expenditures_report_deprecated_oc	56 kB	57344
public	influenza_surveillance_weekly	56 kB	57344
public	chicago_public_schools__local_school_council_voting_districts_2	56 kB	57344
public	financial_incentive_projects__property_tax_abatement	56 kB	57344
public	cta__system_information__list_of_l_stops	56 kB	57344
public	special_vaccine_locations	56 kB	57344
public	public_health_services__licensed_substance_abuse_treatment_prov	56 kB	57344
public	foia_request_log__revenue	56 kB	57344
public	chicago_public_schools__high_school_progress_report_card_201220	56 kB	57344
public	chicago_park_district_movies_in_the_parks_2018	48 kB	49152
public	foia_request_log__human_relations	48 kB	49152
public	street_sweeping_schedule__2015__aprilmay	48 kB	49152
public	public_health_statistics__screening_for_elevated_blood_lead_lev	48 kB	49152
public	cta__system_information__bus_stop_locations_in_digital_sign_pro	48 kB	49152
public	lending_equity__depository_locations	48 kB	49152
public	chicago_park_district_movies_in_the_parks_2017	48 kB	49152
public	performance_metrics__procurement_services__city_auctions	48 kB	49152
public	tif_status_and_eligibility	40 kB	40960
public	warming_centers	40 kB	40960
public	building_code_scofflaw_list	40 kB	40960
public	public_health_statistics__chlamydia_cases_among_females_aged_15	40 kB	40960
public	cooling_centers	40 kB	40960
public	chicago_park_district_movies_in_the_parks_2019	40 kB	40960
public	grocery_store_status	40 kB	40960
public	parks__public_art	40 kB	40960
public	chicago_microlending_institute_cmi_microloans	40 kB	40960
public	chicago_police_department__illinois_uniform_crime_reporting_iuc	40 kB	40960
public	debarred_firms_and_individuals	32 kB	32768
public	performance_metrics__311_call_center	32 kB	32768
public	public_health_statistics__chlamydia_cases_among_males_aged_1544	32 kB	32768
public	speed_camera_locations	32 kB	32768
public	condom_distribution_sites__historical	32 kB	32768
public	veteran_owned_businesses	32 kB	32768
public	covid19_vaccine_delivery	32 kB	32768
public	public_health_statistics__gonorrhea_cases_for_males_aged_1544_i	32 kB	32768
public	foia_request_log__community_development__historical	32 kB	32768
public	covid19_testing_sites	32 kB	32768
public	public_health_statistics__gonorrhea_cases_for_females_aged_1544	32 kB	32768
public	house_share_restricted_residential_zone_precincts	24 kB	24576
public	public_health_statistics__births_and_birth_rates_in_chicago_by_	24 kB	24576
public	lobbyist_data__historical__lobbyist_major_expenditures_report__	24 kB	24576
public	public_health_statistics__diabetes_hospitalizations_in_chicago_	24 kB	24576
public	public_health_statistics__asthma_hospitalizations_in_chicago_by	24 kB	24576
public	test	24 kB	24576
public	red_light_camera_locations	24 kB	24576
public	restricted_flavored_tobacco_flavor_terms	24 kB	24576
public	public_health_statistics__births_to_mothers_aged_1519_years_old	24 kB	24576
public	public_health_services_chicago_primary_care_community_health_ce	24 kB	24576
public	public_health_statistics__preterm_births_in_chicago_by_year_199	24 kB	24576
public	libraries__locations__contact_information_and_usual_hours_of_op	24 kB	24576
public	public_health_statistics__low_birth_weight_in_chicago_by_year_1	24 kB	24576
public	foia_request_log__budget__management	24 kB	24576
public	array_of_things_locations	24 kB	24576
public	lobbyist_data__expenditures__hosting	24 kB	24576
public	chicago_population_counts	24 kB	24576
public	ez_pay_kiosks	16 kB	16384
public	public_health_statistics__selected_public_health_indicators_by_	16 kB	16384
public	fire_stations	16 kB	16384
public	ward_offices	16 kB	16384
public	census_data__languages_spoken_in_chicago_2008__2012	16 kB	16384
public	public_health_statistics__infant_mortality_in_chicago_20052009_	16 kB	16384
public	public_health_statistics__tuberculosis_cases_and_average_annual	16 kB	16384
