CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE346294,08/11/2021 12:00:00 PM,041XX W CORNELIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1731,30,14,1148236,1923038,41.944762746,-87.730550523,"(41.944762746, -87.730550523)"
JE340106,08/17/2021 06:00:00 AM,007XX S KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1132,24,08B,1149163,1896522,41.871982289,-87.727831219,"(41.871982289, -87.727831219)"
JE340280,08/09/2021 12:00:00 PM,077XX S VERNON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,624,6,05,1180587,1853694,41.753792566,-87.613778097,"(41.753792566, -87.613778097)"
JE340603,08/17/2021 03:03:00 PM,134XX S HOUSTON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,433,10,26,1198768,1816575,41.651498014,-87.548392157,"(41.651498014, -87.548392157)"
JE340797,08/17/2021 06:00:00 PM,035XX W ADDISON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1732,35,04A,1151945,1923702,41.946512428,-87.716900113,"(41.946512428, -87.716900113)"
JE328953,08/07/2021 01:17:00 AM,059XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,712,16,07,1170659,1865532,41.786499587,-87.649815884,"(41.786499587, -87.649815884)"
JE344664,08/01/2021 09:00:00 AM,100XX S TORRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,431,7,11,1195465,1838933,41.712932726,-87.55974255,"(41.712932726, -87.55974255)"
JE345137,08/14/2021 07:30:00 PM,045XX N HAZEL ST,0810,THEFT,OVER $500,APARTMENT,N,N,1914,46,06,1169448,1930209,41.964004424,-87.652374635,"(41.964004424, -87.652374635)"
JE340091,08/17/2021 05:00:00 AM,058XX N KENMORE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,APARTMENT,N,N,2022,48,26,1168186,1939021,41.988212228,-87.656758708,"(41.988212228, -87.656758708)"
JE340812,08/17/2021 06:17:00 PM,006XX W 61ST PL,0320,ROBBERY,STRONG ARM - NO WEAPON,RESIDENCE,N,Y,711,16,03,1173029,1864108,41.782539943,-87.641168295,"(41.782539943, -87.641168295)"
